Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Le Bail N., Lionti K., Benayoun S., Pavan S., Thompson L., Gervais C., Dubois G., Toury B.;2015;;Scratch-resistant sol-gel coatings on pristine polycarbonate;New Journal of Chemistry;;39;11;;;;;8302-8310;;;;;;;;;;;;;;;;;10.1039/c5nj00426h;;;;;;;;;
Letavernier E., Bazin D., Daudon M.;2015;;Randall’s plaque and kidney stones: Recent advances and future challenges;Comptes Rendus Chimie;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.crci.2014.12.005;;;;;;;;;
Louvet L., Bazin D., Büchel J., Steppan S., Passlick-Deetjen J., Massy Z. A.;2015;;Characterisation of Calcium Phosphate Crystals on Calcified Human Aortic Vascular Smooth Muscle Cells and Potential Role of Magnesium;PLoS ONE;;10;1;;;;;e0115342;;;;;;;;;;;;;;;;;10.1371/journal.pone.0115342;;;;;;;;;
Melinte G., Georgieva V., Springuel-Huet M.-A., Nossov A., Ersen O., Guenneau F., Gédéon A., Palcic A., Bozhilov K. N., Pham-Huu C., Qiu S., Mintova S., Valtchev V.;2015;;3D Study of the Morphology and Dynamics of Zeolite Nucleation;Chemistry - A European Journal;;21;50;;;;;18316-18327;;;;;;;;;;;;;;;;;10.1002/chem.201501919;;;;;;;;;
Nemausat R., Cabaret D., Gervais C., Brouder C., Trcera N., Bordage A., Errea I., Mauri F.;2015;;Phonon effects on x-ray absorption and nuclear magnetic resonance spectroscopies;Physical Review B : Condensed matter and materials physics;;92;14;;;;;144310;;;;;;;;;;;;;;;;;10.1103/PhysRevB.92.144310;;;;;;;;;
Nowacka A., Moughames J., Adem Z., Quoineaud A.-A., Rolland M., Guenneau F., Gedeon A.;2015;;In situ magnetic resonance imaging study of the impregnation of gamma-alumina pellets;Applied Catalysis A : General;;503;;;;;;111-116;;;;;;;;;;;;;;;;;10.1016/j.apcata.2015.07.014;;;;;;;;;
Ramirez-Wong D. G., Coelho-Diogo C., Aimé C., Bonhomme C., Jonas A. M., Demoustier-Champagne S.;2015;;Effects of geometrical confinement in membrane pores on enzyme-based layer-by-layer assemblies;Applied Surface Science;;338;;;;;;154-162;;;;;;;;;;;;;;;;;10.1016/j.apsusc.2015.02.123;;;;;;;;;
Saavedra-Torres M., Jaque P., Tielens F., Santos J. C.;2015;;Theoretical study of dibenzyl disulfide adsorption on Cu-7 cluster as a first approximation to sulfur-induced copper corrosion process;Theoretical Chemistry Accounts: Theory, Computation, and Modeling;;134;6;;;;;73;;;;;;;;;;;;;;;;;10.1007/s00214-015-1677-8;;;;;;;;;
Santos L. D., Laberty-Robert C., Maréchal M., Perrot H., Sel O.;2015;;Proton Diffusion Coefficient in Electrospun Hybrid Membranes by Electrochemical Impedance Spectroscopy.;Langmuir;;31;36;;;;;9737-9741;;;;;;;;;;;;;;;;;10.1021/acs.langmuir.5b02171;;26322533;;;;;;;
Schaack B., Wei L., Thiéry A., Auger A., Hochepied J.-F., Castellan M., Ebel C., Chaneac C., Achouak W.;2015;;Design of a live biochip for in situ nanotoxicology studies : a proof of concept;RSC Advances;;5;100;;;;;82169-82178;;;;;;;;;;;;;;;;;10.1039/C5RA16960G;;;;;;;;;
